File Name,Index Type,Threads,Blocks,I/O Time (s),Build Time (s),CPU Time (s),Elapsed Time (s)
index_build_minmax_threads_4_blocks_10_0.log,minmax,4,10,721.0311970000005,751.01,29.978802999999516,753.6
index_build_minmax_threads_4_blocks_10_1.log,minmax,4,10,696.1269639999991,730.513,34.3860360000009,733.088
index_build_minmax_threads_4_blocks_10_2.log,minmax,4,10,696.6826349999981,733.098,36.415365000001884,735.661
index_build_minmax_threads_4_blocks_10_3.log,minmax,4,10,704.3405829999998,734.704,30.36341700000014,737.288
index_build_minmax_threads_4_blocks_10_4.log,minmax,4,10,700.8423849999996,735.134,34.291615000000434,737.754
index_build_minmax_threads_4_blocks_100_0.log,minmax,4,100,74.55074100000004,79.4377,4.886958999999962,82.0321
index_build_minmax_threads_4_blocks_100_1.log,minmax,4,100,74.76098000000003,79.2893,4.528319999999965,81.9002
index_build_minmax_threads_4_blocks_100_2.log,minmax,4,100,75.489359,80.1452,4.6558410000000094,82.7689
index_build_minmax_threads_4_blocks_100_3.log,minmax,4,100,75.399855,80.2439,4.844044999999994,82.8549
index_build_minmax_threads_4_blocks_100_4.log,minmax,4,100,74.29919400000003,79.1643,4.865105999999969,81.7128
index_build_minmax_threads_4_blocks_1000_0.log,minmax,4,1000,10.635553000000003,13.686,3.0504469999999966,16.2608
index_build_minmax_threads_4_blocks_1000_1.log,minmax,4,1000,11.016525999999999,14.0151,2.9985740000000014,16.5985
index_build_minmax_threads_4_blocks_1000_2.log,minmax,4,1000,10.857569999999999,13.9766,3.1190300000000004,16.5503
index_build_minmax_threads_4_blocks_1000_3.log,minmax,4,1000,10.772815999999999,13.6383,2.8654840000000004,16.218
index_build_minmax_threads_4_blocks_1000_4.log,minmax,4,1000,10.677505,13.736,3.0584950000000006,16.3049
index_build_minmax_threads_4_blocks_10000_0.log,minmax,4,10000,4.984993,6.60738,1.6223869999999998,9.24284
index_build_minmax_threads_4_blocks_10000_1.log,minmax,4,10000,4.987076,6.6133,1.6262239999999997,9.21917
index_build_minmax_threads_4_blocks_10000_2.log,minmax,4,10000,4.930827000000001,6.5359,1.605072999999999,9.1824
index_build_minmax_threads_4_blocks_10000_3.log,minmax,4,10000,4.956054,6.60251,1.6464559999999997,9.25249
index_build_minmax_threads_4_blocks_10000_4.log,minmax,4,10000,4.977938999999999,6.60015,1.622211000000001,9.20758
index_build_minmax_threads_8_blocks_1_0.log,minmax,8,1,6783.40737100001,6916.81,133.40262899999016,6919.41
index_build_minmax_threads_8_blocks_1_1.log,minmax,8,1,6792.793979000043,6929.29,136.49602099995718,6931.87
index_build_minmax_threads_8_blocks_1_2.log,minmax,8,1,6779.175714000006,6891.44,112.26428599999326,6894.03
index_build_minmax_threads_8_blocks_1_3.log,minmax,8,1,6770.241642000046,6898.92,128.67835799995373,6901.51
index_build_minmax_threads_8_blocks_1_4.log,minmax,8,1,6843.716794999999,6984.17,140.4532050000007,6986.74
index_build_minmax_threads_8_blocks_10_0.log,minmax,8,10,711.1280359999994,747.02,35.8919640000006,749.625
index_build_minmax_threads_8_blocks_10_1.log,minmax,8,10,706.8874989999989,741.152,34.26450100000113,743.767
index_build_minmax_threads_8_blocks_10_2.log,minmax,8,10,697.614749,729.672,32.057251000000065,732.255
index_build_minmax_threads_8_blocks_10_3.log,minmax,8,10,700.634209999999,732.139,31.50479000000098,734.749
index_build_minmax_threads_8_blocks_10_4.log,minmax,8,10,705.4303000000006,737.45,32.01969999999949,740.068
index_build_minmax_threads_8_blocks_100_0.log,minmax,8,100,74.31351900000001,76.9835,2.669980999999993,79.5551
index_build_minmax_threads_8_blocks_100_1.log,minmax,8,100,73.81986,76.4008,2.5809399999999982,79.0065
index_build_minmax_threads_8_blocks_100_2.log,minmax,8,100,73.33765799999998,75.9327,2.5950420000000207,78.5271
index_build_minmax_threads_8_blocks_100_3.log,minmax,8,100,73.47620999999997,76.0683,2.5920900000000273,78.6773
index_build_minmax_threads_8_blocks_100_4.log,minmax,8,100,73.81869100000002,76.4169,2.598208999999983,78.9857
